Designator,Mid X,Mid Y,Layer,Rotation
R5,54.50,103.65,T,270.00
R5,74.28,103.65,T,270.00
R5,94.06,103.65,T,270.00
R5,113.84,103.65,T,270.00
R5,133.62,103.65,T,270.00
R5,153.40,103.65,T,270.00
R5,173.18,103.65,T,270.00
R5,14.94,75.65,T,270.00
R5,34.72,75.65,T,270.00
R5,54.50,75.65,T,270.00
R5,74.28,75.65,T,270.00
SW1,11.06,129.85,T,90.00
SW1,30.84,129.85,T,90.00
SW1,50.62,129.85,T,90.00
SW1,70.40,129.85,T,90.00
SW1,90.18,129.85,T,90.00
SW1,109.96,129.85,T,90.00
SW1,129.74,129.85,T,90.00
SW1,149.52,129.85,T,90.00
SW1,169.30,129.85,T,90.00
SW1,189.08,129.85,T,90.00
SW1,11.06,101.85,T,90.00
SW1,30.84,101.85,T,90.00
SW1,50.62,101.85,T,90.00
SW1,90.18,17.85,T,90.00
SW1,109.96,17.85,T,90.00
SW1,129.74,17.85,T,90.00
SW1,149.52,17.85,T,90.00
SW1,169.30,17.85,T,90.00
SW1,189.08,17.85,T,90.00
SW1,189.08,73.85,T,90.00
SW1,11.06,45.85,T,90.00
SW1,30.84,45.85,T,90.00
SW1,50.62,45.85,T,90.00
SW1,70.40,45.85,T,90.00
SW1,90.18,45.85,T,90.00
SW1,109.96,45.85,T,90.00
SW1,129.74,45.85,T,90.00
SW1,149.52,45.85,T,90.00
SW1,169.30,45.85,T,90.00
SW1,189.08,45.85,T,90.00
SW1,11.06,17.85,T,90.00
SW1,30.84,17.85,T,90.00
SW1,50.62,17.85,T,90.00
SW1,70.40,17.85,T,90.00
SW1,70.40,101.85,T,90.00
SW1,90.18,101.85,T,90.00
SW1,109.96,101.85,T,90.00
SW1,129.74,101.85,T,90.00
SW1,149.52,101.85,T,90.00
SW1,169.30,101.85,T,90.00
SW1,189.08,101.85,T,90.00
SW1,11.06,73.85,T,90.00
SW1,30.84,73.85,T,90.00
SW1,50.62,73.85,T,90.00
SW1,70.40,73.85,T,90.00
SW1,90.18,73.85,T,90.00
SW1,109.96,73.85,T,90.00
SW1,129.74,73.85,T,90.00
SW1,149.52,73.85,T,90.00
SW1,169.30,73.85,T,90.00
SW2,40.50,101.85,T,90.00
SW2,60.28,101.85,T,90.00
SW2,20.72,129.85,T,90.00
SW2,40.50,129.85,T,90.00
SW2,60.28,129.85,T,90.00
SW2,80.06,129.85,T,90.00
SW2,99.84,129.85,T,90.00
SW2,119.62,129.85,T,90.00
SW2,139.40,129.85,T,90.00
SW2,159.18,129.85,T,90.00
SW2,178.96,129.85,T,90.00
SW2,198.74,129.85,T,90.00
SW2,20.72,101.85,T,90.00
SW2,80.06,101.85,T,90.00
SW2,99.84,101.85,T,90.00
SW2,119.62,101.85,T,90.00
SW2,139.40,101.85,T,90.00
SW2,159.18,101.85,T,90.00
SW2,178.96,101.85,T,90.00
SW2,198.74,101.85,T,90.00
SW2,20.72,73.85,T,90.00
SW2,40.50,73.85,T,90.00
SW2,60.28,73.85,T,90.00
SW2,80.06,73.85,T,90.00
SW2,99.84,73.85,T,90.00
SW2,119.62,73.85,T,90.00
SW2,139.40,73.85,T,90.00
SW2,159.18,73.85,T,90.00
SW2,178.96,73.85,T,90.00
SW2,198.74,73.85,T,90.00
SW2,20.72,45.85,T,90.00
SW2,40.50,45.85,T,90.00
SW2,60.28,45.85,T,90.00
SW2,80.06,45.85,T,90.00
SW2,99.84,45.85,T,90.00
SW2,119.62,45.85,T,90.00
SW2,139.40,45.85,T,90.00
SW2,159.18,45.85,T,90.00
SW2,178.96,45.85,T,90.00
SW2,198.74,45.85,T,90.00
SW2,20.72,17.85,T,90.00
SW2,40.50,17.85,T,90.00
SW2,60.28,17.85,T,90.00
SW2,80.06,17.85,T,90.00
SW2,99.84,17.85,T,90.00
SW2,119.62,17.85,T,90.00
SW2,139.40,17.85,T,90.00
SW2,159.18,17.85,T,90.00
SW2,178.96,17.85,T,90.00
SW2,198.74,17.85,T,90.00
U1,15.89,122.75,T,270.00
U1,35.67,122.75,T,270.00
U1,55.45,122.75,T,270.00
U1,75.23,122.75,T,270.00
U1,95.01,122.75,T,270.00
U1,114.79,122.75,T,270.00
U1,134.57,122.75,T,270.00
U1,154.35,122.75,T,270.00
U1,174.13,122.75,T,270.00
U1,193.91,122.75,T,270.00
U1,15.89,94.75,T,270.00
U1,35.67,94.75,T,270.00
U1,55.45,94.75,T,270.00
U1,75.23,94.75,T,270.00
U1,95.01,94.75,T,270.00
U1,114.79,94.75,T,270.00
U1,134.57,94.75,T,270.00
U1,154.35,94.75,T,270.00
U1,174.13,94.75,T,270.00
U1,193.91,94.75,T,270.00
U1,15.89,66.75,T,270.00
U1,35.67,66.75,T,270.00
U1,55.45,66.75,T,270.00
U1,75.23,66.75,T,270.00
U1,95.01,66.75,T,270.00
U1,114.79,66.75,T,270.00
U1,134.57,66.75,T,270.00
U1,154.35,66.75,T,270.00
U1,174.13,66.75,T,270.00
U1,193.91,66.75,T,270.00
U1,15.89,38.75,T,270.00
U1,35.67,38.75,T,270.00
U1,55.45,38.75,T,270.00
U1,75.23,38.75,T,270.00
U1,95.01,38.75,T,270.00
U1,114.79,38.75,T,270.00
U1,134.57,38.75,T,270.00
U1,154.35,38.75,T,270.00
U1,174.13,38.75,T,270.00
U1,193.91,38.75,T,270.00
